variant	kind	bytes	raw_sha256	raw_bytes	text_bytes	data_bytes	tcg_ratio	full_p95_ms	crypto_p95_ms	native_ratio
baseline	none	0	4cf4fa35f6ed3e60fb2636b5ba37ccc47c30202df4a8b063f2489c9fc33aef01	179312	115887	48120	1.168	2771.4	2373.2	0.990
text-64	text	64	4cf4fa35f6ed3e60fb2636b5ba37ccc47c30202df4a8b063f2489c9fc33aef01	179312	115887	48120	1.117	2723.3	2438.1	0.978
text-128	text	128	4cf4fa35f6ed3e60fb2636b5ba37ccc47c30202df4a8b063f2489c9fc33aef01	179312	115887	48120	1.191	2946.0	2472.6	1.007
